iter	RMSE
0	0.04449330219
1	0.04420575759
2	0.04396605293
3	0.04383293402
4	0.04366090983
5	0.04345817004
6	0.04332510113
7	0.04311752351
8	0.04296517989
9	0.04281870124
10	0.04268197669
11	0.04253974992
12	0.04232608142
13	0.04221413096
14	0.04208616107
15	0.0419809817
16	0.04182703341
17	0.04167248299
18	0.04157619528
19	0.04142770067
20	0.04129255646
21	0.04112167022
22	0.04098550718
23	0.0408264295
24	0.04069014291
25	0.04055944485
26	0.0404119383
27	0.04026281764
28	0.0401418889
29	0.03999232535
30	0.0398833361
31	0.03973815195
32	0.03963337347
33	0.03952515703
34	0.03940355027
35	0.03931730042
36	0.03919301188
37	0.03911100156
38	0.03900343291
39	0.03892420161
40	0.03884076617
41	0.03878979132
42	0.03867448789
43	0.03853796016
44	0.03845021746
45	0.03836399238
46	0.03826225649
47	0.03818535354
48	0.0380623856
49	0.03794216128
50	0.03784757302
51	0.03776786699
52	0.03765849605
53	0.0375334528
54	0.03741704168
55	0.03733358977
56	0.03719017901
57	0.03711689795
58	0.03698441908
59	0.03690007172
60	0.03675976896
61	0.0366337575
62	0.03655471568
63	0.03640998971
64	0.03632367761
65	0.03619573585
66	0.03612332829
67	0.03604115165
68	0.03595060277
69	0.03580823887
70	0.0357215733
71	0.03560886428
72	0.03552952
73	0.03540365318
74	0.03529878654
75	0.03523982887
76	0.03514353683
77	0.0350325213
78	0.03495320108
79	0.03485801465
80	0.03472752911
81	0.03466503467
82	0.03454871874
83	0.03445080873
84	0.03438375106
85	0.03427824092
86	0.03420405743
87	0.03406049598
88	0.03397536181
89	0.03389711681
90	0.0338375227
91	0.03377643834
92	0.03370672817
93	0.03366891612
94	0.03361029523
95	0.03354200267
96	0.03342603465
97	0.0333029011
98	0.03319129486
99	0.03309474522
100	0.03301877748
101	0.03292399878
102	0.03285940438
103	0.0327800474
104	0.03272225051
105	0.0326644511
106	0.03258592951
107	0.03252743587
108	0.0324374386
109	0.03235593655
110	0.03220515811
111	0.03214015465
112	0.03203216414
113	0.03196882417
114	0.03191852009
115	0.03184757534
116	0.03174207316
117	0.03166954211
118	0.03161589413
119	0.03151510982
120	0.0314881269
121	0.03137012372
122	0.0313008251
123	0.03122043746
124	0.03112663143
125	0.03100779882
126	0.03093320497
127	0.03084128088
128	0.03078040692
129	0.03071600086
130	0.03065921405
131	0.03055662691
132	0.03045968658
133	0.03039612817
134	0.03035126141
135	0.03031713152
136	0.03023970263
137	0.03015890791
138	0.03003370227
139	0.02993935643
140	0.0298910719
141	0.02980782198
142	0.02973260212
143	0.02970464459
144	0.02963073748
145	0.02958762652
146	0.02953096517
147	0.02944069464
148	0.02939113579
149	0.02930417968
150	0.02922860319
151	0.02912643765
152	0.02905722836
153	0.0289317249
154	0.02889107565
155	0.02883640278
156	0.02879915645
157	0.02876019426
158	0.02871615435
159	0.0286756887
160	0.02858124626
161	0.02848289304
162	0.02841409354
163	0.02835926679
164	0.02829521273
165	0.02821483126
166	0.02815416381
167	0.02811993319
168	0.02803616404
169	0.02797963697
170	0.02793046842
171	0.02786066028
172	0.02778608114
173	0.02773877106
174	0.02766092294
175	0.02759207461
176	0.02752784397
177	0.0274370009
178	0.02739164759
179	0.02734980709
180	0.02729270696
181	0.02720720097
182	0.02715553161
183	0.02708480089
184	0.02702636593
185	0.02697343873
186	0.02693738865
187	0.02686477063
188	0.02679971863
189	0.02672693527
190	0.02665844198
191	0.02660706689
192	0.02656018528
193	0.02649387539
194	0.0264433229
195	0.02637014398
196	0.02631511922
197	0.02624275014
198	0.02618428988
199	0.02613628656
