date,close
2017-01-03,180.12
2017-01-04,175.95
2017-01-05,171.9
2017-01-06,170.69
2017-01-09,168.35
2017-01-10,171.6
2017-01-11,169.05
2017-01-12,168.27
2017-01-13,164.9
2017-01-16,164.66
2017-01-17,165.98
2017-01-18,165.24
2017-01-19,166.3
2017-01-20,167.49
2017-01-23,166.75
2017-01-24,170.25
2017-01-25,170.26
2017-01-26,173.79
2017-01-27,178.92
2017-01-30,174.6
2017-01-31,172.2
2017-02-01,173.9
2017-02-02,172.83
2017-02-03,173.8
2017-02-06,172.87
2017-02-07,173.47
2017-02-08,171.2
2017-02-09,168.8
2017-02-10,165.5
2017-02-13,164.7
2017-02-14,162.7
2017-02-15,163.5
2017-02-16,166.49
2017-02-17,165.49
2017-02-20,165.44
2017-02-21,167.0
2017-02-22,165.9
2017-02-24,165.51
2017-02-27,160.95
2017-02-28,156.0
2017-03-01,160.0
2017-03-02,163.4
2017-03-03,164.4
2017-03-06,162.0
2017-03-07,160.98
2017-03-09,156.2
2017-03-10,157.5
2017-03-13,158.92
2017-03-14,157.42
2017-03-15,156.2
2017-03-16,158.35
2017-03-17,161.15
2017-03-20,163.8
2017-03-21,162.98
2017-03-22,162.92
2017-03-23,164.15
2017-03-24,164.52
2017-03-27,162.69
2017-03-28,163.66
2017-03-29,163.22
2017-03-30,163.5
2017-03-31,159.8
2017-04-03,161.8
2017-04-04,163.5
2017-04-05,168.1
2017-04-06,167.49
2017-04-07,161.49
2017-04-10,155.2
2017-04-11,156.0
2017-04-12,150.28
2017-04-13,152.0
2017-04-14,149.24
2017-04-17,153.99
2017-04-18,153.4
2017-04-19,153.6
2017-04-20,158.21
2017-04-21,159.59
2017-04-24,162.5
2017-04-25,162.55
2017-04-26,165.05
2017-04-27,164.69
2017-04-28,165.2
2017-05-02,166.64
2017-05-03,164.71
2017-05-04,165.5
2017-05-05,165.8
2017-05-10,170.8
2017-05-11,169.97
2017-05-12,167.7
2017-05-15,171.35
2017-05-16,170.66
2017-05-17,169.24
2017-05-18,166.5
2017-05-19,168.87
2017-05-22,168.03
2017-05-23,166.31
2017-05-24,165.7
2017-05-25,164.05
2017-05-26,160.7
2017-05-29,163.9
2017-05-30,161.64
2017-05-31,155.93
2017-06-01,153.0
2017-06-02,157.14
2017-06-05,154.7
2017-06-06,152.8
2017-06-07,152.82
2017-06-08,151.93
2017-06-09,150.13
2017-06-13,146.0
2017-06-14,143.0
2017-06-15,139.0
2017-06-16,141.63
2017-06-19,145.0
2017-06-20,144.9
2017-06-21,143.49
2017-06-22,144.25
2017-06-23,144.1
2017-06-26,144.49
2017-06-27,147.1
2017-06-28,145.5
2017-06-29,143.8
2017-06-30,145.59
2017-07-03,147.5
2017-07-04,149.39
2017-07-05,148.96
2017-07-06,150.35
2017-07-07,152.16
2017-07-10,155.0
2017-07-11,156.91
2017-07-12,160.85
2017-07-13,159.94
2017-07-14,161.4
2017-07-17,161.98
2017-07-18,161.7
2017-07-19,164.34
2017-07-20,163.93
2017-07-21,162.1
2017-07-24,161.33
2017-07-25,160.22
2017-07-26,161.55
2017-07-27,166.0
2017-07-28,165.4
2017-07-31,164.53
2017-08-01,166.31
2017-08-02,169.9
2017-08-03,170.0
2017-08-04,169.73
2017-08-07,172.79
2017-08-08,175.75
2017-08-09,173.4
2017-08-10,172.2
2017-08-11,172.05
2017-08-14,172.51
2017-08-15,172.33
2017-08-16,173.05
2017-08-17,172.72
2017-08-18,169.5
2017-08-21,169.9
2017-08-22,171.0
2017-08-23,175.3
2017-08-24,179.8
2017-08-25,180.51
2017-08-28,181.85
2017-08-29,181.89
2017-08-30,183.5
2017-08-31,183.51
2017-09-01,183.66
2017-09-04,184.1
2017-09-05,184.14
2017-09-06,183.12
2017-09-07,184.0
2017-09-08,185.89
2017-09-11,190.5
2017-09-12,189.32
2017-09-13,189.1
2017-09-14,188.64
2017-09-15,188.75
2017-09-18,188.04
2017-09-19,184.85
2017-09-20,186.47
2017-09-21,187.38
2017-09-22,187.55
2017-09-25,191.2
2017-09-26,192.54
2017-09-27,193.7
2017-09-28,191.96
2017-09-29,192.33
2017-10-02,193.0
2017-10-03,192.5
2017-10-04,192.03
2017-10-05,193.74
2017-10-06,194.16
2017-10-09,194.0
2017-10-10,193.21
2017-10-11,195.83
2017-10-12,195.51
2017-10-13,196.48
2017-10-16,197.7
2017-10-17,197.2
2017-10-18,195.31
2017-10-19,192.2
2017-10-20,192.97
2017-10-23,192.34
2017-10-24,192.5
2017-10-25,192.04
2017-10-26,192.75
2017-10-27,196.05
2017-10-30,195.0
2017-10-31,193.8
2017-11-01,194.05
2017-11-02,193.85
2017-11-03,193.8
2017-11-07,205.96
2017-11-08,209.09
2017-11-09,220.05
2017-11-10,217.7
2017-11-13,216.61
2017-11-14,221.4
2017-11-15,225.95
2017-11-16,227.5
2017-11-17,225.65
2017-11-20,224.6
2017-11-21,231.0
2017-11-22,230.25
2017-11-23,225.56
2017-11-24,228.0
2017-11-27,226.76
2017-11-28,230.0
2017-11-29,228.2
2017-11-30,224.35
2017-12-01,221.5
2017-12-04,224.6
2017-12-05,223.91
2017-12-06,223.75
2017-12-07,219.81
2017-12-08,220.89
2017-12-11,227.69
2017-12-12,227.9
2017-12-13,221.8
2017-12-14,229.9
2017-12-15,226.53
2017-12-18,227.4
2017-12-19,224.1
2017-12-20,226.0
2017-12-21,223.6
2017-12-22,221.44
2017-12-25,223.3
2017-12-26,223.57
2017-12-27,226.98
2017-12-28,224.2
2017-12-29,225.2
2018-01-03,231.9
2018-01-04,238.8
2018-01-05,238.6
2018-01-09,240.4
2018-01-10,237.76
2018-01-11,239.0
2018-01-12,237.75
2018-01-15,238.85
2018-01-16,239.64
2018-01-17,239.82
2018-01-18,245.5
2018-01-19,242.45
2018-01-22,243.99
2018-01-23,244.4
2018-01-24,247.53
2018-01-25,250.64
2018-01-26,247.0
2018-01-29,250.48
2018-01-30,257.8
2018-01-31,264.5
2018-02-01,263.2
2018-02-02,257.32
2018-02-05,255.64
2018-02-06,258.94
2018-02-07,257.58
2018-02-08,253.19
2018-02-09,250.11
